NBA Stats 2021/22: All Player Statistics in one Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
,Precious Achiuwa,Tor,F,22.31,28,24.5,51,17.5,11.1,51,0.569,194,0.428,33,0.273,0.425,0.445,7.9,7.6,16.7,1.4,8.3,0.57,0.61,1.11,7.2,99.7,102.9
,Steven Adams,Mem,C,28.48,40,25.6,53.4,12.7,20.5,115,0.6,198,0.53,0,0,0.53,0.561,7,9.4,19.4,3,15,0.83,0.58,1.6,9.1,121.3,104.9
,Bam Adebayo,Mia,C-F,24.49,18,32.9,68.5,25.8,15.3,112,0.759,242,0.521,1,0,0.519,0.577,18.7,10.2,17.2,3.2,15.9,1.11,0.33,2.94,10.3,111.1,97.1
,Santi Aldama,Mem,F-C,21,22,10.9,22.7,17.6,7.9,19,0.579,50,0.56,35,0.114,0.4,0.423,3.6,2.7,13,0.6,7.3,0.09,0.27,0.36,6.6,98.5,104.2
,LaMarcus Aldridge,Bro,C-F,36.48,29,22.9,47.6,22.2,7.1,52,0.846,258,0.593,35,0.343,0.584,0.611,13.3,5.6,13,0.8,5.7,0.38,1.1,0.83,6.8,119.3,104.3
,Nickeil Alexander-Walker,Nor,G,23.36,37,27.1,56.5,25.1,10,62,0.726,255,0.424,247,0.312,0.445,0.465,13.3,3.5,7.1,2.5,15.3,0.89,0.32,1.59,7.2,95.3,109.8
,Grayson Allen,Mil,G,26.26,36,28.4,59.2,16.6,5.8,41,0.854,103,0.476,252,0.389,0.552,0.572,11.9,3.4,6.2,1.3,6.7,0.78,0.39,0.64,5.3,114.8,107.9
,Jarrett Allen,Cle,C,23.73,34,32.7,68,18.2,13.4,146,0.705,328,0.713,8,0.125,0.701,0.717,16.9,10.9,18,1.8,9.1,0.91,1.5,1.82,8.5,133.6,100.6
,Jose Alvarado,Nor,G,23.75,13,6.9,14.3,15.8,6.1,11,0.636,13,0.231,13,0.308,0.346,0.405,1.9,0.6,4.8,1,20.3,0.54,0.08,0.15,6.1,103.1,105.3
,Justin Anderson,Cle,F-G,28.15,3,15.5,32.4,11,17,4,0.75,2,1,6,0.333,0.625,0.666,4.3,2,6.9,2,17.4,0.33,0,0.67,6.7,125.8,101
