Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Fri, Apr 1, 2022",7:00p,Toronto Raptors,,Orlando Magic,,,,,
"Fri, Apr 1, 2022",7:00p,Dallas Mavericks,,Washington Wizards,,,,,
"Fri, Apr 1, 2022",7:30p,Indiana Pacers,,Boston Celtics,,,,,
"Fri, Apr 1, 2022",8:00p,Sacramento Kings,,Houston Rockets,,,,,
"Fri, Apr 1, 2022",8:00p,Phoenix Suns,,Memphis Grizzlies,,,,,
"Fri, Apr 1, 2022",8:00p,Los Angeles Clippers,,Milwaukee Bucks,,,,,
"Fri, Apr 1, 2022",8:00p,Detroit Pistons,,Oklahoma City Thunder,,,,,
"Fri, Apr 1, 2022",8:30p,Portland Trail Blazers,,San Antonio Spurs,,,,,
"Fri, Apr 1, 2022",9:00p,Minnesota Timberwolves,,Denver Nuggets,,,,,
"Fri, Apr 1, 2022",10:30p,New Orleans Pelicans,,Los Angeles Lakers,,,,,
"Sat, Apr 2, 2022",12:30p,Charlotte Hornets,,Philadelphia 76ers,,,,,
"Sat, Apr 2, 2022",1:00p,Cleveland Cavaliers,,New York Knicks,,,,,
"Sat, Apr 2, 2022",7:30p,Brooklyn Nets,,Atlanta Hawks,,,,,
"Sat, Apr 2, 2022",8:00p,Miami Heat,,Chicago Bulls,,,,,
"Sat, Apr 2, 2022",8:30p,Utah Jazz,,Golden State Warriors,,,,,
"Sun, Apr 3, 2022",1:00p,Dallas Mavericks,,Milwaukee Bucks,,,,,
"Sun, Apr 3, 2022",1:00p,Washington Wizards,,Boston Celtics,,,,,
"Sun, Apr 3, 2022",3:30p,Denver Nuggets,,Los Angeles Lakers,,,,,
"Sun, Apr 3, 2022",5:00p,Detroit Pistons,,Indiana Pacers,,,,,
"Sun, Apr 3, 2022",6:00p,Philadelphia 76ers,,Cleveland Cavaliers,,,,,
"Sun, Apr 3, 2022",6:00p,New York Knicks,,Orlando Magic,,,,,
"Sun, Apr 3, 2022",7:00p,Minnesota Timberwolves,,Houston Rockets,,,,,
"Sun, Apr 3, 2022",7:00p,Miami Heat,,Toronto Raptors,,,,,
"Sun, Apr 3, 2022",7:00p,Portland Trail Blazers,,San Antonio Spurs,,,,,
"Sun, Apr 3, 2022",7:00p,Phoenix Suns,,Oklahoma City Thunder,,,,,
"Sun, Apr 3, 2022",9:00p,Golden State Warriors,,Sacramento Kings,,,,,
"Sun, Apr 3, 2022",9:30p,New Orleans Pelicans,,Los Angeles Clippers,,,,,
"Tue, Apr 5, 2022",7:00p,Philadelphia 76ers,,Indiana Pacers,,,,,
"Tue, Apr 5, 2022",7:00p,Cleveland Cavaliers,,Orlando Magic,,,,,
"Tue, Apr 5, 2022",7:30p,Houston Rockets,,Brooklyn Nets,,,,,
"Tue, Apr 5, 2022",7:30p,Charlotte Hornets,,Miami Heat,,,,,
"Tue, Apr 5, 2022",7:30p,Atlanta Hawks,,Toronto Raptors,,,,,
"Tue, Apr 5, 2022",8:00p,Milwaukee Bucks,,Chicago Bulls,,,,,
"Tue, Apr 5, 2022",8:00p,Washington Wizards,,Minnesota Timberwolves,,,,,
"Tue, Apr 5, 2022",8:00p,Portland Trail Blazers,,Oklahoma City Thunder,,,,,
"Tue, Apr 5, 2022",9:00p,San Antonio Spurs,,Denver Nuggets,,,,,
"Tue, Apr 5, 2022",9:00p,Memphis Grizzlies,,Utah Jazz,,,,,
"Tue, Apr 5, 2022",10:00p,New Orleans Pelicans,,Sacramento Kings,,,,,
"Tue, Apr 5, 2022",10:30p,Los Angeles Lakers,,Phoenix Suns,,,,,
"Wed, Apr 6, 2022",7:00p,Dallas Mavericks,,Detroit Pistons,,,,,
"Wed, Apr 6, 2022",7:30p,Brooklyn Nets,,New York Knicks,,,,,
"Wed, Apr 6, 2022",8:00p,Boston Celtics,,Chicago Bulls,,,,,
"Wed, Apr 6, 2022",8:00p,Washington Wizards,,Atlanta Hawks,,,,,
"Wed, Apr 6, 2022",9:00p,Oklahoma City Thunder,,Utah Jazz,,,,,
"Wed, Apr 6, 2022",10:00p,Phoenix Suns,,Los Angeles Clippers,,,,,
"Thu, Apr 7, 2022",7:00p,Orlando Magic,,Charlotte Hornets,,,,,
"Thu, Apr 7, 2022",7:30p,Boston Celtics,,Milwaukee Bucks,,,,,
"Thu, Apr 7, 2022",7:30p,Philadelphia 76ers,,Toronto Raptors,,,,,
"Thu, Apr 7, 2022",8:00p,San Antonio Spurs,,Minnesota Timberwolves,,,,,
"Thu, Apr 7, 2022",8:00p,Portland Trail Blazers,,New Orleans Pelicans,,,,,
"Thu, Apr 7, 2022",9:00p,Memphis Grizzlies,,Denver Nuggets,,,,,
"Thu, Apr 7, 2022",10:00p,Los Angeles Lakers,,Golden State Warriors,,,,,
"Fri, Apr 8, 2022",7:00p,New York Knicks,,Washington Wizards,,,,,
"Fri, Apr 8, 2022",7:00p,Milwaukee Bucks,,Detroit Pistons,,,,,
"Fri, Apr 8, 2022",7:30p,Cleveland Cavaliers,,Brooklyn Nets,,,,,
"Fri, Apr 8, 2022",7:30p,Houston Rockets,,Toronto Raptors,,,,,
"Fri, Apr 8, 2022",8:00p,Atlanta Hawks,,Miami Heat,,,,,
"Fri, Apr 8, 2022",8:00p,Charlotte Hornets,,Chicago Bulls,,,,,
"Fri, Apr 8, 2022",8:30p,Portland Trail Blazers,,Dallas Mavericks,,,,,
"Fri, Apr 8, 2022",9:30p,Phoenix Suns,,Utah Jazz,,,,,
"Fri, Apr 8, 2022",10:30p,Oklahoma City Thunder,,Los Angeles Lakers,,,,,
"Sat, Apr 9, 2022",,Sacramento Kings,,Los Angeles Clippers,,,,,
"Sat, Apr 9, 2022",,Golden State Warriors,,San Antonio Spurs,,,,,
"Sat, Apr 9, 2022",,New Orleans Pelicans,,Memphis Grizzlies,,,,,
"Sat, Apr 9, 2022",,Indiana Pacers,,Philadelphia 76ers,,,,,
"Sun, Apr 10, 2022",,Utah Jazz,,Portland Trail Blazers,,,,,
"Sun, Apr 10, 2022",,Sacramento Kings,,Phoenix Suns,,,,,
"Sun, Apr 10, 2022",,Detroit Pistons,,Philadelphia 76ers,,,,,
"Sun, Apr 10, 2022",,Miami Heat,,Orlando Magic,,,,,
"Sun, Apr 10, 2022",,Toronto Raptors,,New York Knicks,,,,,
"Sun, Apr 10, 2022",,Golden State Warriors,,New Orleans Pelicans,,,,,
"Sun, Apr 10, 2022",,Chicago Bulls,,Minnesota Timberwolves,,,,,
"Sun, Apr 10, 2022",,Boston Celtics,,Memphis Grizzlies,,,,,
"Sun, Apr 10, 2022",,Oklahoma City Thunder,,Los Angeles Clippers,,,,,
"Sun, Apr 10, 2022",,Atlanta Hawks,,Houston Rockets,,,,,
"Sun, Apr 10, 2022",,Los Angeles Lakers,,Denver Nuggets,,,,,
"Sun, Apr 10, 2022",,San Antonio Spurs,,Dallas Mavericks,,,,,
"Sun, Apr 10, 2022",,Milwaukee Bucks,,Cleveland Cavaliers,,,,,
"Sun, Apr 10, 2022",,Washington Wizards,,Charlotte Hornets,,,,,
"Sun, Apr 10, 2022",,Indiana Pacers,,Brooklyn Nets,,,,,
