Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Tue, Feb 1, 2022",7:00p,New Orleans Pelicans,,Detroit Pistons,,,,,
"Tue, Feb 1, 2022",7:30p,Washington Wizards,,Milwaukee Bucks,,,,,
"Tue, Feb 1, 2022",7:30p,Miami Heat,,Toronto Raptors,,,,,
"Tue, Feb 1, 2022",8:00p,Orlando Magic,,Chicago Bulls,,,,,
"Tue, Feb 1, 2022",8:00p,Denver Nuggets,,Minnesota Timberwolves,,,,,
"Tue, Feb 1, 2022",8:30p,Golden State Warriors,,San Antonio Spurs,,,,,
"Tue, Feb 1, 2022",10:00p,Brooklyn Nets,,Phoenix Suns,,,,,
"Wed, Feb 2, 2022",7:00p,Orlando Magic,,Indiana Pacers,,,,,
"Wed, Feb 2, 2022",7:00p,Washington Wizards,,Philadelphia 76ers,,,,,
"Wed, Feb 2, 2022",7:30p,Charlotte Hornets,,Boston Celtics,,,,,
"Wed, Feb 2, 2022",7:30p,Memphis Grizzlies,,New York Knicks,,,,,
"Wed, Feb 2, 2022",8:00p,Cleveland Cavaliers,,Houston Rockets,,,,,
"Wed, Feb 2, 2022",8:30p,Oklahoma City Thunder,,Dallas Mavericks,,,,,
"Wed, Feb 2, 2022",10:00p,Brooklyn Nets,,Sacramento Kings,,,,,
"Wed, Feb 2, 2022",10:00p,Denver Nuggets,,Utah Jazz,,,,,
"Wed, Feb 2, 2022",10:30p,Portland Trail Blazers,,Los Angeles Lakers,,,,,
"Thu, Feb 3, 2022",7:00p,Minnesota Timberwolves,,Detroit Pistons,,,,,
"Thu, Feb 3, 2022",7:30p,Phoenix Suns,,Atlanta Hawks,,,,,
"Thu, Feb 3, 2022",7:30p,Chicago Bulls,,Toronto Raptors,,,,,
"Thu, Feb 3, 2022",8:30p,Miami Heat,,San Antonio Spurs,,,,,
"Thu, Feb 3, 2022",10:00p,Sacramento Kings,,Golden State Warriors,,,,,
"Thu, Feb 3, 2022",10:00p,Los Angeles Lakers,,Los Angeles Clippers,,,,,
"Fri, Feb 4, 2022",7:00p,Cleveland Cavaliers,,Charlotte Hornets,,,,,
"Fri, Feb 4, 2022",7:00p,Boston Celtics,,Detroit Pistons,,,,,
