Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Tue, Mar 1, 2022",7:00p,Detroit Pistons,,Washington Wizards,,,,,
"Tue, Mar 1, 2022",7:30p,Atlanta Hawks,,Boston Celtics,,,,,
"Tue, Mar 1, 2022",7:30p,Brooklyn Nets,,Toronto Raptors,,,,,
"Tue, Mar 1, 2022",8:00p,Los Angeles Clippers,,Houston Rockets,,,,,
"Tue, Mar 1, 2022",8:00p,Golden State Warriors,,Minnesota Timberwolves,,,,,
"Tue, Mar 1, 2022",10:00p,Dallas Mavericks,,Los Angeles Lakers,,,,,
"Wed, Mar 2, 2022",7:00p,Charlotte Hornets,,Cleveland Cavaliers,,,,,
"Wed, Mar 2, 2022",7:00p,Indiana Pacers,,Orlando Magic,,,,,
"Wed, Mar 2, 2022",7:30p,New York Knicks,,Philadelphia 76ers,,,,,
"Wed, Mar 2, 2022",8:00p,Utah Jazz,,Houston Rockets,,,,,
"Wed, Mar 2, 2022",8:00p,Miami Heat,,Milwaukee Bucks,,,,,
"Wed, Mar 2, 2022",8:00p,Sacramento Kings,,New Orleans Pelicans,,,,,
"Wed, Mar 2, 2022",9:00p,Oklahoma City Thunder,,Denver Nuggets,,,,,
"Wed, Mar 2, 2022",10:00p,Portland Trail Blazers,,Phoenix Suns,,,,,
"Thu, Mar 3, 2022",7:00p,Chicago Bulls,,Atlanta Hawks,,,,,
"Thu, Mar 3, 2022",7:30p,Memphis Grizzlies,,Boston Celtics,,,,,
"Thu, Mar 3, 2022",7:30p,Miami Heat,,Brooklyn Nets,,,,,
"Thu, Mar 3, 2022",7:30p,Detroit Pistons,,Toronto Raptors,,,,,
"Thu, Mar 3, 2022",8:30p,Golden State Warriors,,Dallas Mavericks,,,,,
"Thu, Mar 3, 2022",8:30p,Sacramento Kings,,San Antonio Spurs,,,,,
"Thu, Mar 3, 2022",10:00p,Los Angeles Lakers,,Los Angeles Clippers,,,,,
"Fri, Mar 4, 2022",7:00p,Indiana Pacers,,Detroit Pistons,,,,,
"Fri, Mar 4, 2022",7:00p,Cleveland Cavaliers,,Philadelphia 76ers,,,,,
"Fri, Mar 4, 2022",7:00p,Atlanta Hawks,,Washington Wizards,,,,,
"Fri, Mar 4, 2022",7:30p,Milwaukee Bucks,,Chicago Bulls,,,,,
"Fri, Mar 4, 2022",7:30p,Orlando Magic,,Toronto Raptors,,,,,
"Fri, Mar 4, 2022",8:00p,Utah Jazz,,New Orleans Pelicans,,,,,
"Fri, Mar 4, 2022",8:00p,Minnesota Timberwolves,,Oklahoma City Thunder,,,,,
"Fri, Mar 4, 2022",9:00p,Houston Rockets,,Denver Nuggets,,,,,
"Fri, Mar 4, 2022",10:00p,New York Knicks,,Phoenix Suns,,,,,
"Sat, Mar 5, 2022",5:00p,Sacramento Kings,,Dallas Mavericks,,,,,
"Sat, Mar 5, 2022",7:00p,San Antonio Spurs,,Charlotte Hornets,,,,,
