full_name,team,position,age,gp,mpg,fta,ftper,twopA,twoPer,threepA,threePer,ppg,rpg,apg,spg,bpg,topg,versatilityIndex
Precious Achiuwa,Mia,F,21.66,61,12.1,110,0.509,227,0.546,1,0,5,3.4,0.5,0.33,0.46,0.7,6.7
Jaylen Adams,Mil,G,25.03,7,2.6,0,0,6,0.167,2,0,0.3,0.4,0.3,0,0,0,5.1
Steven Adams,Nor,C,27.83,58,27.7,135,0.444,305,0.62,3,0,7.6,8.9,1.9,0.93,0.66,1.36,7.3
Bam Adebayo,Mia,C-F,23.83,64,33.5,354,0.799,792,0.573,8,0.25,18.7,9,5.4,1.17,1.03,2.64,11.6
LaMarcus Aldridge,San,C-F,35.83,21,25.9,37,0.838,173,0.509,75,0.36,13.7,4.5,1.7,0.38,0.86,0.95,7.3
LaMarcus Aldridge,Bro,C-F,35.83,5,26,10,1,43,0.488,5,0.8,12.8,4.8,2.6,0.6,2.2,1.4,8.3
Ty-Shon Alexander,Pho,G,22.84,15,3.2,2,0.5,3,0.333,9,0.222,0.6,0.7,0.4,0,0.07,0.2,6.9
Nickeil Alexander-Walker,Nor,G,22.7,46,21.9,66,0.727,239,0.485,219,0.347,11,3.1,2.2,1.02,0.48,1.5,7.7
Grayson Allen,Mem,G,25.61,50,25.2,91,0.868,140,0.471,274,0.391,10.6,3.2,2.2,0.92,0.16,0.96,6.7
Jarrett Allen,Bro,C,23.07,12,26.6,61,0.754,65,0.677,0,0,11.2,10.4,1.7,0.58,1.58,1.83,8.8
Jarrett Allen,Cle,C,23.07,51,30.3,229,0.69,398,0.623,19,0.316,13.2,9.9,1.7,0.47,1.41,1.53,8
Al-Farouq Aminu,Orl,F,30.65,17,21.6,17,0.824,58,0.5,31,0.226,5.5,5.4,1.7,1,0.53,1.47,6.8
Al-Farouq Aminu,Chi,F,30.65,6,11.2,5,0.8,4,0.25,6,0.167,1.5,3.2,0.3,0.33,0,0.5,4
Kyle Anderson,Mem,F-G,27.66,69,27.4,184,0.783,397,0.539,261,0.36,12.4,5.7,3.6,1.22,0.83,1.25,9.3
Giannis Antetokounmpo,Mil,F,26.44,61,33,581,0.685,879,0.636,221,0.303,28.1,11,5.9,1.18,1.21,3.39,14.8
Kostas Antetokounmpo,Lal,F,23.49,15,3.7,13,0.462,10,0.3,0,0,0.8,1.3,0.1,0.13,0.27,0.73,5.1
Thanasis Antetokounmpo,Mil,F,28.83,57,9.7,49,0.51,108,0.556,29,0.241,2.9,2.2,0.8,0.39,0.18,0.75,7.1
Carmelo Anthony,Por,F,36.97,69,24.5,156,0.891,452,0.429,325,0.409,13.4,3.1,1.5,0.67,0.55,0.88,6.5
Cole Anthony,Orl,G,21,47,27.1,131,0.832,380,0.424,172,0.337,12.9,4.7,4.1,0.64,0.38,2.26,9.3
OG Anunoby,Tor,F,23.83,43,33.3,102,0.784,257,0.564,261,0.398,15.9,5.5,2.2,1.53,0.72,1.74,6.9
Ryan Arcidiacono,Chi,G,27.14,44,10.2,20,0.65,50,0.48,67,0.373,3.1,1.5,1.3,0.2,0,0.23,7.1
Trevor Ariza,Mia,F,35.88,30,28,44,0.773,98,0.5,143,0.35,9.4,4.8,1.8,1,0.6,0.7,6.2
D.J. Augustin,Mil,G,33.52,37,19.3,40,0.9,63,0.349,129,0.38,6.1,1.4,3,0.54,0.03,0.92,6.1
D.J. Augustin,Hou,G,33.52,20,20.8,54,0.907,63,0.476,88,0.386,10.6,2.2,3.9,0.4,0,1.55,8.6
Deni Avdija,Was,F,20.37,54,23.3,45,0.644,144,0.535,168,0.315,6.3,4.8,1.2,0.59,0.28,0.61,5.7
Deandre Ayton,Pho,C,22.82,69,30.6,173,0.769,667,0.639,20,0.2,14.4,10.5,1.4,0.59,1.17,1.48,7.8
Udoka Azubuike,Uta,C-F,21.66,15,3.8,10,0.8,9,0.444,0,0,1.1,0.9,0,0.07,0.27,0.2,0
Dwayne Bacon,Orl,G-F,25.71,72,25.7,176,0.824,519,0.449,207,0.285,10.9,3.1,1.3,0.61,0.07,0.63,5.5
Marvin Bagley III,Sac,F,22.18,43,25.9,134,0.575,382,0.55,108,0.343,14.1,7.4,1,0.49,0.49,1.37,7.3
LaMelo Ball,Cha,G,19.74,51,28.8,165,0.758,411,0.489,261,0.352,15.7,5.9,6.1,1.59,0.35,2.84,11.5
Lonzo Ball,Nor,G,23.55,55,31.8,64,0.781,245,0.482,455,0.378,14.6,4.8,5.7,1.49,0.56,2.24,9.3
Mo Bamba,Orl,C,23.01,46,15.8,66,0.682,183,0.568,118,0.322,8,5.8,0.8,0.3,1.26,0.8,8.4
Desmond Bane,Mem,G,22.89,68,22.3,49,0.816,228,0.513,271,0.432,9.2,3.1,1.7,0.62,0.24,0.87,6.5
Harrison Barnes,Sac,F,28.96,58,36.3,235,0.83,386,0.567,256,0.391,16.1,6.6,3.5,0.74,0.19,1.6,7.9
RJ Barrett,Nyk,F-G,20.92,72,34.9,276,0.746,750,0.457,309,0.401,17.6,5.8,3,0.74,0.28,1.93,7.7
Will Barton,Den,G,30.36,56,31,121,0.785,351,0.459,257,0.381,12.7,4,3.2,0.89,0.41,1.71,7
Keita Bates-Diop,San,F,25.31,30,8.2,21,0.667,50,0.5,17,0.294,2.6,1.6,0.4,0.37,0.17,0.23,5.8
