full_name,pos,age,team,games,games_started,mpg,fg,fga,fgp,threeP,threePA,threePP,twoP,twoPA,twoPP,efg,ft,fta,ftp,orb,drb,rpg,apg,spg,bpg,tpg,fouls,ppg
Terry Taylor,SG,22,IND,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,0,0,0,0
Trayvon Palmer,SG,27,DET,1,0,17,0,1,0,0,0,,0,1,0,0,0,0,,0,2,2,0,0,0,1,2,0
Jaysean Paige,PG,27,DET,1,0,7,0,3,0,0,2,0,0,1,0,0,0,0,,0,1,1,1,0,0,1,2,0
Malik Newman,PG,24,CLE,1,0,8,3,5,0.6,0,1,0,3,4,0.75,0.6,2,2,1,0,1,1,1,0,0,1,0,8
Ade Murkey,SG,24,SAC,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
Juwan Morgan,PF,24,TOR,1,0,27,2,3,0.667,1,2,0.5,1,1,1,0.833,0,0,,2,2,4,1,0,0,0,3,5
Matt Mooney,SG,24,NYK,1,0,2,0,1,0,0,1,0,0,0,,0,0,0,,0,0,0,0,1,0,1,0,0
C.J. Miles,SG,34,BOS,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,1,0
Mac McClung,PG,23,CHI,1,0,3,1,1,1,0,0,,1,1,1,1,0,0,,0,0,0,0,0,0,1,0,2
Brook Lopez,C,33,MIL,1,1,28,3,9,0.333,2,4,0.5,1,5,0.2,0.444,0,0,,2,3,5,0,1,3,0,3,8
Isaiah Livers,SF,23,DET,1,0,5,0,2,0,0,2,0,0,0,,0,0,0,,0,0,0,0,1,1,1,1,0
Arnoldas Kulboka,SF,24,CHO,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
Joe Johnson,SG,40,BOS,1,0,2,1,1,1,0,0,,1,1,1,1,0,0,,0,0,0,0,0,0,0,0,2
DeJon Jarreau,SG,24,IND,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
Scotty Hopson,SG,32,OKC,1,0,18,2,4,0.5,0,1,0,2,3,0.667,0.5,0,0,,0,1,1,1,0,0,2,1,4
Jaylen Hoard,SF,22,OKC,1,0,2,0,1,0,0,0,,0,1,0,0,0,0,,1,1,2,0,0,0,0,0,0
Tyler Hall,SG,24,NYK,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
Jaime Echenique,C,24,WAS,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
Javin DeLaurier,C,23,MIL,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,1,0,0,1,0
Sam Dekker,PF,27,TOR,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
Ahmad Caver,PG,25,IND,1,0,1,1,1,1,0,0,,1,1,1,1,0,0,,0,0,0,0,0,0,0,0,2
Jordan Bell,C,27,CHI,1,0,2,0,0,,0,0,,0,0,,,0,0,,1,0,1,0,1,0,0,2,0
M.J. Walker,SG,23,PHO,2,0,4,0,2,0,0,1,0,0,1,0,0,0,0,,0,0.5,0.5,0.5,1,0,0,0.5,0
Klay Thompson,SG,31,GSW,2,2,20,6,15.5,0.387,2.5,6.5,0.385,3.5,9,0.389,0.468,1,1,1,0.5,2.5,3,2,0.5,1,2.5,2,15.5
Tyrell Terry,PG,21,MEM,2,0,1.5,0.5,0.5,1,0,0,,0.5,0.5,1,1,0,0,,0,0,0,0,0,0,0,0.5,1
Nik Stauskas,SG,28,MIA,2,0,12,1.5,4,0.375,1,2,0.5,0.5,2,0.25,0.5,1.5,2,0.75,0.5,1,1.5,0.5,0,0,0,0.5,5.5
Jaden Springer,SG,19,PHI,2,0,3,0.5,0.5,1,0,0,,0.5,0.5,1,1,0,0,,0.5,0.5,1,0,0,1,0.5,0,1
Xavier Sneed,SF,24,MEM,2,0,4,0,1,0,0,1,0,0,0,,0,0,0,,0.5,0.5,1,0,0,0,0,1,0
Tre Scott,SF,25,CLE,2,0,5.5,1.5,3,0.5,0,0.5,0,1.5,2.5,0.6,0.5,0,0,,0.5,0.5,1,0,0.5,0.5,0,1,3
Jordan Schakel,SG,23,WAS,2,0,7,0,3,0,0,1.5,0,0,1.5,0,0,0,0,,1,0.5,1.5,0,0,0,0,0,0
Olivier Sarr,C,22,OKC,2,0,7,0.5,1.5,0.333,0,0.5,0,0.5,1,0.5,0.333,1,1,1,0,2.5,2.5,0,0,1,0,0.5,2
Reggie Perry,PF,21,POR,2,0,20.5,2,4.5,0.444,0.5,1,0.5,1.5,3.5,0.429,0.5,1,1,1,1,2.5,3.5,1,0.5,0,0.5,3,5.5
Cameron Oliver,SF,25,ATL,2,0,21.5,5,7.5,0.667,0.5,1.5,0.333,4.5,6,0.75,0.7,1,1.5,0.667,1,2,3,1.5,0.5,0.5,0,2.5,11.5
Emmanuel Mudiay,PG,25,SAC,2,0,5.5,0,1,0,0,0,,0,1,0,0,1.5,2,0.75,0,0,0,2,0.5,0,0.5,0.5,1.5
Didi Louzada,SF,22,NOP,2,0,3.5,0,1.5,0,0,1.5,0,0,0,,0,0,0,,1,0,1,0.5,0,0,0,0,0
Scottie Lewis,SG,21,CHO,2,0,3.5,0,0,,0,0,,0,0,,,0.5,1,0.5,0,0,0,0.5,0.5,0,0,0,0.5
Anthony Lamb,SF,24,SAS,2,0,4,0,1,0,0,1,0,0,0,,0,0,0,,0,0.5,0.5,1,0,0,0,0,0
